tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""51059470600""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,2713.00,1121.00,596.88,48,59,76,36,44,58,12,15,18,5.27,13.05,1.78,2,2,13341,13172,12716,11,11,10,12980,12687,11622,11163,10892,9889,1625,1604,1548,192,191,185,124,123,120,,,,1.88,34003,67,75428,68,17,,,3152,3756,411,82,18
"""51059470700""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",5.00,5464.00,1802.00,874.50,56,70,89,43,53,70,13,16,19,6.57,13.77,1.93,2,2,14650,14245,13606,6,6,6,14010,13692,12556,12120,11849,10792,1784,1735,1657,106,108,108,69,70,70,,,,2.06,38067,94,64351,68,14,,,3790,3917,2955,88,12
"""51059470800""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,3029.00,1000.00,487.24,56,69,89,43,54,70,13,16,19,6.21,12.88,1.86,2,2,14229,14046,13600,10,10,10,13600,13318,12251,11683,11426,10422,1733,1711,1656,184,181,174,119,117,112,,,,2.05,38378,70,77349,68,19,,,3816,3902,3501,78,22
"""51059470900""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",5.00,7669.00,2693.00,1084.75,55,68,88,42,53,69,13,16,19,5.60,14.12,1.87,2,2,13762,13522,13009,10,10,9,13569,13272,12171,11717,11450,10417,1676,1647,1584,176,175,170,114,113,110,,,,2.48,42559,75,65697,67,20,,,3738,3936,1458,87,13
"""51059471000""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,2198.00,874.00,427.49,46,57,72,33,42,54,12,15,18,5.60,11.45,1.76,2,2,13746,13570,13143,16,16,15,13013,12716,11649,11049,10777,9773,1674,1653,1600,290,286,275,187,185,178,,,,2.04,42528,58,71199,68,12,,,2951,3102,2354,81,19
"""51059471100""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",5.00,6699.00,2269.00,960.12,43,53,68,30,37,48,13,16,19,5.44,13.75,1.89,2,2,13954,13776,13357,10,10,10,13771,13490,12418,11883,11627,10616,1700,1678,1626,188,185,177,121,119,114,,,,2.36,41130,82,92540,68,16,,,2622,3131,906,72,28
"""51059471201""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,3455.00,1607.00,177.81,33,41,53,24,30,39,9,11,14,3.83,42.03,1.36,1,1,10132,10002,9691,12,11,11,10000,9761,8965,8558,8337,7587,1234,1218,1180,208,206,199,134,133,128,,,,9.04,40151,1,132144,68,12,,,2114,2860,1751,44,56
"""51059471203""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,2704.00,1151.00,129.12,38,47,60,27,34,45,10,12,15,4.63,41.26,1.46,1,1,11492,11346,11007,13,13,12,10812,10602,9817,9183,8993,8258,1400,1382,1340,229,227,219,148,147,141,,,,8.91,37047,15,100863,68,6,,,2435,2585,2304,46,54
"""51059471204""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,3178.00,1636.00,367.80,31,39,50,22,28,36,9,12,14,4.18,29.95,1.35,1,1,10961,10821,10508,11,11,11,10015,9817,9098,8475,8296,7624,1335,1318,1279,205,203,195,132,131,126,,,,4.45,38101,2,118467,68,18,,,1958,1586,1876,41,59
"""51059471301""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,4199.00,1571.00,176.73,33,41,52,23,28,37,10,12,15,4.74,48.58,1.47,1,1,11440,11296,11049,12,12,11,10864,10635,9854,9256,9047,8304,1393,1376,1345,215,212,205,139,137,132,,,,8.89,41477,0,96554,69,17,,,2010,1820,1850,17,83
