"","geoid","year","NAME","measure","region_type","value"
"129",51059430600,2021,"Census Tract 4306, Fairfax County, Virginia","ays_index","tract",0.431736776276883
"130",51059430700,2021,"Census Tract 4307, Fairfax County, Virginia","ays_index","tract",0.53201446793421
"131",51059430801,2021,"Census Tract 4308.01, Fairfax County, Virginia","ays_index","tract",0.633377853826538
"132",51059430802,2021,"Census Tract 4308.02, Fairfax County, Virginia","ays_index","tract",0.61372915723056
"133",51059430901,2021,"Census Tract 4309.01, Fairfax County, Virginia","ays_index","tract",0.59564267349632
"134",51059430902,2021,"Census Tract 4309.02, Fairfax County, Virginia","ays_index","tract",0.596939586078619
"135",51059431001,2021,"Census Tract 4310.01, Fairfax County, Virginia","ays_index","tract",0.607500288044087
"136",51059431002,2021,"Census Tract 4310.02, Fairfax County, Virginia","ays_index","tract",0.635610474784085
"137",51059431300,2021,"Census Tract 4313, Fairfax County, Virginia","ays_index","tract",0.586377115007365
"138",51059431400,2021,"Census Tract 4314, Fairfax County, Virginia","ays_index","tract",0.600695301067069
"139",51059431500,2021,"Census Tract 4315, Fairfax County, Virginia","ays_index","tract",0.665628665329328
"140",51059431601,2021,"Census Tract 4316.01, Fairfax County, Virginia","ays_index","tract",0.656291961707032
"141",51059431602,2021,"Census Tract 4316.02, Fairfax County, Virginia","ays_index","tract",0.541088592444145
"142",51059431801,2021,"Census Tract 4318.01, Fairfax County, Virginia","ays_index","tract",0.584216204662327
"143",51059431802,2021,"Census Tract 4318.02, Fairfax County, Virginia","ays_index","tract",0.656587762666995
"144",51059431900,2021,"Census Tract 4319, Fairfax County, Virginia","ays_index","tract",0.666774684112895
"145",51059432000,2021,"Census Tract 4320, Fairfax County, Virginia","ays_index","tract",0.607493905689966
"146",51059432100,2021,"Census Tract 4321, Fairfax County, Virginia","ays_index","tract",0.645557788564468
"147",51059432201,2021,"Census Tract 4322.01, Fairfax County, Virginia","ays_index","tract",0.623460266205197
"148",51059432202,2021,"Census Tract 4322.02, Fairfax County, Virginia","ays_index","tract",0.631997496376892
"149",51059432300,2021,"Census Tract 4323, Fairfax County, Virginia","ays_index","tract",0.683955357025793
"150",51059432401,2021,"Census Tract 4324.01, Fairfax County, Virginia","ays_index","tract",0.718288430528706
"151",51059432402,2021,"Census Tract 4324.02, Fairfax County, Virginia","ays_index","tract",0.663708912926985
